account,country,advertizer_source,revenue_cpm,buy_cpm,advertizer_impressions,profit_cpm,roi_percent,profiton_galaksion_revenue,revenue_weighted_profit,profiton_currency,mybid_currency,galaksion_currency
evadav-rss,VE,inhouseads,0.0609,0.5250,11258100,-0.4641,-88.39,0.1070,-5224.5021,USD,USD,USD
propush-tb,SY,kadam,0.1730,0.5000,15982883,-0.3270,-65.40,233.4596,-5226.4529,USD,USD,USD
sv2,LK,inhouseads,0.4200,0.7350,16603180,-0.3150,-42.86,272.3600,-5230.0017,USD,USD,USD
evadav-rss,PT,inhouseads,0.0608,1.2600,4368088,-1.1992,-95.18,0.0330,-5238.3270,USD,USD,USD
evadav-sv,CM,inhouseads,0.0517,1.5750,3441686,-1.5233,-96.72,0.9550,-5242.8170,USD,USD,USD
nsd,BY,kadam,0.0600,1.4000,3917499,-1.3400,-95.71,0.6000,-5249.4487,USD,USD,USD
sv2,BY,kadam,0.0600,1.4000,3917499,-1.3400,-95.71,0.1800,-5249.4487,USD,USD,USD
onclicka-sv,CH,inhouseads,0.2639,1.6800,3709981,-1.4161,-84.29,1.9556,-5253.5248,USD,USD,USD
clickadilla-sv,VE,inhouseads,0.0580,0.5250,11258100,-0.4670,-88.94,0.1401,-5257.0764,USD,USD,USD
propush-constructor,RO,inhouseads,0.5306,1.0500,10125891,-0.5194,-49.46,15.6134,-5259.0355,USD,USD,USD
nsd,MY,galaksion,0.2800,1.0600,6743969,-0.7800,-73.58,19.8900,-5260.2958,USD,USD,USD
mybid-pub-sv,MY,adsterra,0.4010,2.1261,3055954,-1.7251,-81.14,3.6974,-5271.9264,USD,USD,USD
evadav-rss,CM,inhouseads,0.0407,1.5750,3441686,-1.5343,-97.41,0.0250,-5280.5217,USD,USD,USD
propush-constructor,RO,kadam,0.5306,1.0000,11250990,-0.4694,-46.94,15.6134,-5280.8233,USD,USD,USD
clickadilla-sv,CA,clickadu,0.5166,2.1660,3206359,-1.6494,-76.15,68.4845,-5288.6241,USD,USD,USD
sv2,EG,monetizer,0.3400,8.5636,643454,-8.2236,-96.03,1368.0400,-5291.4976,USD,USD,USD
sv,EG,monetizer,0.3400,8.5636,643454,-8.2236,-96.03,352.8800,-5291.4976,USD,USD,USD
evadav-rss,MX,galaksion,0.0379,0.5400,10557288,-0.5021,-92.99,0.9520,-5301.3117,USD,USD,USD
propush-tb,EG,monetizer,0.3205,8.5636,643454,-8.2431,-96.26,1730.2211,-5304.0301,USD,USD,USD
propush-nsd,EG,monetizer,0.3191,8.5636,643454,-8.2445,-96.27,2093.1353,-5304.9617,USD,USD,USD
propush-constructor,EG,monetizer,0.3183,8.5636,643454,-8.2452,-96.28,124.0426,-5305.4319,USD,USD,USD
nsd,DE,adsterra,0.3100,2.1964,2813890,-1.8864,-85.89,132.9400,-5308.1108,USD,USD,USD
propush-cpc,EG,monetizer,0.3093,8.5636,643454,-8.2543,-96.39,238.8716,-5311.2371,USD,USD,USD
clickadilla-sv,TW,clickadu,0.4436,2.8497,2208366,-2.4060,-84.43,61.8708,-5313.4040,USD,USD,USD
nsd,EG,monetizer,0.3000,8.5636,643454,-8.2636,-96.50,614.2600,-5317.2358,USD,USD,USD
clickadu-pub-nsd,CO,kadam,0.0918,0.3000,25602792,-0.2082,-69.40,2.1242,-5330.1525,USD,USD,USD
sv,PE,inhouseads,0.2900,0.6300,15680133,-0.3400,-53.97,0.9600,-5331.2452,USD,USD,USD
clickadilla-sv,MY,adsterra,0.3773,2.1261,3055954,-1.7488,-82.25,2.4880,-5344.2610,USD,USD,USD
