account,country,advertizer_source,revenue_cpm,buy_cpm,advertizer_impressions,profit_cpm,roi_percent,profiton_galaksion_revenue,revenue_weighted_profit,profiton_currency,mybid_currency,galaksion_currency
clickadu-pub-nsd,KW,mybid,0.4292,0.0600,219544,0.3692,615.33,6.5873,81.0548,USD,USD,USD
evadav-rss,CH,mybid,0.7633,0.4800,284281,0.2833,59.03,0.7160,80.5443,USD,USD,USD
sv2,ZM,galaksion,1.2300,1.1100,670413,0.1200,10.81,366.0300,80.4496,USD,USD,USD
propush-nsd,KR,galaksion,0.5072,0.4400,1191764,0.0672,15.27,543.9572,80.0762,USD,USD,USD
propush-nsd,GE,adsterra,2.0111,1.3870,128051,0.6242,45.00,308.0112,79.9253,USD,USD,USD
sv2,HK,mybid,0.3000,0.2000,796208,0.1000,50.00,6.6500,79.6208,USD,USD,USD
nsd,RE,inhouseads,0.6500,0.5250,635850,0.1250,23.81,3.8100,79.4813,USD,USD,USD
propush-nsd,LV,mybid,1.7727,0.3600,55215,1.4127,392.41,56.2802,78.0001,USD,USD,USD
propush-nsd,PA,mybid,0.7040,0.1900,150557,0.5140,270.55,125.1086,77.3923,USD,USD,USD
propush-nsd,CG,galaksion,1.3060,0.5200,96791,0.7860,151.15,235.0562,76.0734,USD,USD,USD
propush-nsd,NA,galaksion,1.5234,0.3600,65161,1.1634,323.16,87.0847,75.8078,USD,USD,USD
propush-nsd,GR,mybid,0.5224,0.2700,299520,0.2524,93.49,264.7135,75.6034,USD,USD,USD
propush-nsd,PY,galaksion,0.5123,0.2100,249641,0.3023,143.93,59.5506,75.4561,USD,USD,USD
sv2,LK,galaksion,0.6100,0.5800,2509232,0.0300,5.17,369.7700,75.2770,USD,USD,USD
clickadu-pub-nsd,GE,mybid,0.4971,0.0900,184781,0.4071,452.34,3.1795,75.2257,USD,USD,USD
clickadu-pub-nsd,PY,mybid,0.3608,0.0500,241670,0.3108,621.56,0.2125,75.1064,USD,USD,USD
clickadu-pub-nsd,DM,inhouseads,1.2310,0.2100,73561,1.0210,486.17,0.0517,75.1023,USD,USD,USD
clickadu-pub-nsd,GB,mybid,0.5979,0.5400,1296064,0.0579,10.73,60.5150,75.0925,USD,USD,USD
sv2,CN,galaksion,1.1500,1.0500,744652,0.1000,9.52,189.1300,74.4652,USD,USD,USD
evadav-sv,AE,mybid,0.2607,0.0800,409625,0.1807,225.91,0.1640,74.0321,USD,USD,USD
propush-nsd,JO,mybid,0.3870,0.1600,325979,0.2270,141.90,368.1880,74.0116,USD,USD,USD
sv2,UZ,mybid,0.3200,0.1700,489588,0.1500,88.24,11.5400,73.4382,USD,USD,USD
propush-nsd,UZ,mybid,0.3199,0.1700,489588,0.1499,88.19,103.1185,73.3975,USD,USD,USD
propush-nsd,CR,clickadu,0.5288,0.2705,282501,0.2582,95.45,56.4318,72.9493,USD,USD,USD
sv,RS,clickadu,0.9800,0.7042,262388,0.2758,39.17,133.4200,72.3690,USD,USD,USD
clickadu-pub-nsd,UY,mybid,0.4661,0.0700,179989,0.3961,565.79,0.7345,71.2852,USD,USD,USD
clickadu-pub-nsd,ZA,mybid,0.2797,0.1100,416866,0.1697,154.27,4.2842,70.7431,USD,USD,USD
propush-nsd,EE,mybid,1.6015,0.7000,78321,0.9015,128.78,37.5085,70.6057,USD,USD,USD
nsd,BG,mybid,0.3300,0.1600,413765,0.1700,106.25,13.3700,70.3401,USD,USD,USD
sv2,ZM,clickadu,1.2300,0.8998,212978,0.3302,36.69,366.0300,70.3153,USD,USD,USD
propush-nsd,BG,clickadu,1.4943,1.3368,442019,0.1575,11.78,1030.1367,69.6171,USD,USD,USD
propush-nsd,BN,inhouseads,0.3984,0.3150,822085,0.0834,26.48,21.2800,68.5595,USD,USD,USD
clickadu-pub-nsd,AL,galaksion,0.3510,0.1900,424422,0.1610,84.73,8.3047,68.3264,USD,USD,USD
sv,CH,mybid,0.7200,0.4800,284281,0.2400,50.00,3.7200,68.2274,USD,USD,USD
clickadu-pub-nsd,GU,galaksion,3.5184,0.1800,20406,3.3384,1854.69,1.2596,68.1241,USD,USD,USD
evadav-rss,IE,mybid,0.6547,0.2400,161395,0.4147,172.79,0.8210,66.9313,USD,USD,USD
sv2,UG,galaksion,0.6600,0.4900,386550,0.1700,34.69,194.3300,65.7135,USD,USD,USD
sv,UG,galaksion,0.6600,0.4900,386550,0.1700,34.69,37.7700,65.7135,USD,USD,USD
clickadu-pub-nsd,EC,mybid,0.4238,0.3800,1496478,0.0438,11.52,29.3843,65.5027,USD,USD,USD
propush-nsd,GH,clickadu,1.2723,0.8775,165579,0.3949,45.00,492.0129,65.3796,USD,USD,USD
