account,country,revenue_cpm,buy_cpm,advertizer_impressions,profit_cpm,roi_percent,profiton_galaksion_revenue,revenue_weighted_profit,profiton_currency,mybid_currency,galaksion_currency
nsd,GP,0.1800,0.2200,5316,-0.0400,-18.18,0.2900,-0.2126,USD,USD,USD
sv2,LC,0.0500,0.1000,4295,-0.0500,-50.00,0.2000,-0.2147,USD,USD,USD
evadav-sv,GD,0.0455,0.1200,2893,-0.0745,-62.08,0.0010,-0.2155,USD,USD,USD
sv,SS,0.0500,0.1000,4370,-0.0500,-50.00,0.0900,-0.2185,USD,USD,USD
evadav-rss,MG,0.1132,0.1300,13114,-0.0168,-12.92,0.6740,-0.2203,USD,USD,USD
nsd,KM,0.0400,0.1200,2756,-0.0800,-66.67,0.1000,-0.2205,USD,USD,USD
sv,KM,0.0400,0.1200,2756,-0.0800,-66.67,0.0300,-0.2205,USD,USD,USD
nsd,SB,0.0300,0.1200,2469,-0.0900,-75.00,0.0400,-0.2222,USD,USD,USD
sv2,SB,0.0300,0.1200,2469,-0.0900,-75.00,0.0400,-0.2222,USD,USD,USD
sv,SB,0.0300,0.1200,2469,-0.0900,-75.00,0.0200,-0.2222,USD,USD,USD
nsd,KY,0.0300,0.1200,2505,-0.0900,-75.00,0.0100,-0.2255,USD,USD,USD
evadav-sv,BM,0.0303,0.1200,2520,-0.0897,-74.75,0.0010,-0.2260,USD,USD,USD
sv2,VI,0.0300,0.1300,2267,-0.1000,-76.92,0.0400,-0.2267,USD,USD,USD
nsd,BM,0.0300,0.1200,2520,-0.0900,-75.00,0.0100,-0.2268,USD,USD,USD
sv2,BM,0.0300,0.1200,2520,-0.0900,-75.00,0.0300,-0.2268,USD,USD,USD
evadav-sv,KY,0.0290,0.1200,2505,-0.0910,-75.83,0.0020,-0.2280,USD,USD,USD
nsd,JE,0.0300,0.1300,2281,-0.1000,-76.92,0.0200,-0.2281,USD,USD,USD
sv2,JE,0.0300,0.1300,2281,-0.1000,-76.92,0.0400,-0.2281,USD,USD,USD
evadav-sv,SZ,0.0441,0.1200,3008,-0.0759,-63.25,0.0060,-0.2283,USD,USD,USD
evadav-sv,GQ,0.0443,0.1200,3032,-0.0757,-63.08,0.0320,-0.2295,USD,USD,USD
evadav-sv,VI,0.0286,0.1300,2267,-0.1014,-78.00,0.0020,-0.2299,USD,USD,USD
evadav-sv,KM,0.0363,0.1200,2756,-0.0837,-69.75,0.0180,-0.2307,USD,USD,USD
nsd,GD,0.0400,0.1200,2893,-0.0800,-66.67,0.0100,-0.2314,USD,USD,USD
sv2,GD,0.0400,0.1200,2893,-0.0800,-66.67,0.1900,-0.2314,USD,USD,USD
sv,AG,0.0600,0.1200,3887,-0.0600,-50.00,0.0200,-0.2332,USD,USD,USD
evadav-rss,BT,0.0727,0.1100,6285,-0.0373,-33.91,0.0040,-0.2344,USD,USD,USD
evadav-sv,JE,0.0271,0.1300,2281,-0.1029,-79.15,0.0060,-0.2347,USD,USD,USD
evadav-sv,AG,0.0593,0.1200,3887,-0.0607,-50.58,0.0080,-0.2359,USD,USD,USD
nsd,TD,0.0600,0.0800,11932,-0.0200,-25.00,0.8500,-0.2386,USD,USD,USD
nsd,AW,0.0400,0.1200,2986,-0.0800,-66.67,0.0100,-0.2389,USD,USD,USD
nsd,NA,0.1000,0.1200,12113,-0.0200,-16.67,0.1400,-0.2423,USD,USD,USD
sv2,GQ,0.0400,0.1200,3032,-0.0800,-66.67,0.0500,-0.2426,USD,USD,USD
